0	0
0.05	0.066109545
0.1	0.160199229
0.15	0.275238298
0.2	0.403783992
0.25	0.538568575
0.3	0.673005148
0.35	0.801561887
0.4	0.919980374
0.45	1.025339548
0.5	1.115987704
0.55	1.191377922
0.6	1.251846733
0.65	1.298373128
0.7	1.332347517
0.75	1.355370641
0.8	1.369092939
0.85	1.375097004
0.9	1.374820153
0.95	1.369510863
1	1.360211548
1.05	1.347760291
1.1	1.332805125
1.15	1.315825899
1.2	1.297160185
1.25	1.277031014
1.3	1.255575248
1.35	1.232872052
1.4	1.20897132
1.45	1.183921915
1.5	1.157799328
1.55	1.130731898
1.6	1.102924111
1.65	1.074674871
1.7	1.046388194
1.75	1.018573619
1.8	0.991834014
1.85	0.966839518
1.9	0.944287949
1.95	0.924854169
2	0.909133129
2.05	0.897583178
2.1	0.89047726
2.15	0.887869302
2.2	0.88958146
2.25	0.895214903
2.3	0.904183253
2.35	0.915764218
2.4	0.929162252
2.45	0.943573734
2.5	0.95824647
2.55	0.972526969
2.6	0.985891617
2.65	0.997960715
2.7	1.00849693
2.75	1.017391485
2.8	1.02464232
2.85	1.030328443
2.9	1.034584076
2.95	1.037575248
3	1.039480387
3.05	1.04047555
3.1	1.040724204
3.15	1.040370999
3.2	1.039538761
3.25	1.038327874
3.3	1.036817318
3.35	1.035066731
3.4	1.033119066
3.45	1.031003538
3.5	1.028738673
3.55	1.026335399
3.6	1.02380013
3.65	1.021137838
3.7	1.018355088
3.75	1.015462967
3.8	1.012479765
3.85	1.009433234
3.9	1.006362133
3.95	1.003316801
4	1.000358448
4.05	0.997556996
4.1	0.994987407
4.15	0.992724665
4.2	0.990837819
4.25	0.989383734
4.3	0.988401316
4.35	0.987907069
4.4	0.987892664
4.45	0.988324988
4.5	0.989148736
4.55	0.990291234
4.6	0.991668815
4.65	0.993193888
4.7	0.994781752
4.75	0.996356374
4.8	0.997854557
4.85	0.999228268
4.9	1.00044517
4.95	1.00148765
5	1.002350772
